movieId,imdbId,title,genres
1,114709,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,113497,Jumanji (1995),Adventure|Children|Fantasy
3,113228,Grumpier Old Men (1995),Comedy|Romance
4,114885,Waiting to Exhale (1995),Comedy|Drama|Romance
5,113041,Father of the Bride Part II (1995),Comedy
6,113277,Heat (1995),Action|Crime|Thriller
7,114319,Sabrina (1995),Comedy|Romance
8,112302,Tom and Huck (1995),Adventure|Children
9,114576,Sudden Death (1995),Action
10,113189,GoldenEye (1995),Action|Adventure|Thriller
11,112346,"American President, The (1995)",Comedy|Drama|Romance
12,112896,Dracula: Dead and Loving It (1995),Comedy|Horror
13,112453,Balto (1995),Adventure|Animation|Children
14,113987,Nixon (1995),Drama
15,112760,Cutthroat Island (1995),Action|Adventure|Romance
16,112641,Casino (1995),Crime|Drama
17,114388,Sense and Sensibility (1995),Drama|Romance
18,113101,Four Rooms (1995),Comedy
19,112281,Ace Ventura: When Nature Calls (1995),Comedy
20,113845,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,113161,Get Shorty (1995),Comedy|Crime|Thriller
22,112722,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,112401,Assassins (1995),Action|Crime|Thriller
24,114168,Powder (1995),Drama|Sci-Fi
25,113627,Leaving Las Vegas (1995),Drama|Romance
26,114057,Othello (1995),Drama
27,114011,Now and Then (1995),Children|Drama
28,114117,Persuasion (1995),Drama|Romance
29,112682,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,115012,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
31,112792,Dangerous Minds (1995),Drama
32,114746,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
34,112431,Babe (1995),Children|Drama
36,112818,Dead Man Walking (1995),Crime|Drama
38,113442,It Takes Two (1995),Children|Comedy
39,112697,Clueless (1995),Comedy|Romance
40,112749,"Cry, the Beloved Country (1995)",Drama
41,114279,Richard III (1995),Drama|War
42,112819,Dead Presidents (1995),Action|Crime|Drama
43,114272,Restoration (1995),Drama
44,113855,Mortal Kombat (1995),Action|Adventure|Fantasy
45,114681,To Die For (1995),Comedy|Drama|Thriller
46,113347,How to Make an American Quilt (1995),Drama|Romance
47,114369,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
48,114148,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
49,114916,When Night Is Falling (1995),Drama|Romance
50,114814,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
52,113819,Mighty Aphrodite (1995),Comedy|Drama|Romance
53,110299,Lamerica (1994),Adventure|Drama
54,112499,"Big Green, The (1995)",Children|Comedy
55,113158,Georgia (1995),Drama
57,113321,Home for the Holidays (1995),Drama
58,110877,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
60,113419,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
61,116260,Eye for an Eye (1996),Drama|Thriller
62,113862,Mr. Holland's Opus (1995),Drama
63,116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
64,118002,Two if by Sea (1996),Comedy|Romance
65,115683,Bio-Dome (1996),Comedy
66,116839,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
68,113149,French Twist (Gazon maudit) (1995),Comedy|Romance
69,113118,Friday (1995),Comedy
70,116367,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
71,113010,Fair Game (1995),Action
72,113537,Kicking and Screaming (1995),Comedy|Drama
73,113828,"Misérables, Les (1995)",Drama|War
74,115644,Bed of Roses (1996),Drama|Romance
75,115676,Big Bully (1996),Comedy|Drama
76,114367,Screamers (1995),Action|Sci-Fi|Thriller
77,113973,Nico Icon (1995),Documentary
78,112744,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
79,116731,"Juror, The (1996)",Drama|Thriller
80,112445,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
81,114660,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
82,112379,Antonia's Line (Antonia) (1995),Comedy|Drama
83,114039,Once Upon a Time... When We Were Colored (1995),Drama|Romance
85,112365,Angels and Insects (1995),Drama|Romance
86,118158,White Squall (1996),Action|Adventure|Drama
87,116151,Dunston Checks In (1996),Children|Comedy
88,115697,Black Sheep (1996),Comedy
89,113972,Nick of Time (1995),Action|Thriller
92,117002,Mary Reilly (1996),Drama|Horror|Thriller
93,114825,Vampire in Brooklyn (1995),Comedy|Horror|Romance
94,115639,Beautiful Girls (1996),Comedy|Drama|Romance
95,115759,Broken Arrow (1996),Action|Adventure|Thriller
96,113403,In the Bleak Midwinter (1995),Comedy|Drama
97,113247,"Hate (Haine, La) (1995)",Crime|Drama
99,113283,Heidi Fleiss: Hollywood Madam (1995),Documentary
100,115907,City Hall (1996),Drama|Thriller
101,115734,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
102,117102,Mr. Wrong (1996),Comedy
103,118040,Unforgettable (1996),Mystery|Sci-Fi|Thriller
104,116483,Happy Gilmore (1996),Comedy
105,112579,"Bridges of Madison County, The (1995)",Drama|Romance
106,110251,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
107,117110,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
108,112646,Catwalk (1996),Documentary
110,112573,Braveheart (1995),Action|Drama|War
111,75314,Taxi Driver (1976),Crime|Drama|Thriller
112,113326,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
113,115645,Before and After (1996),Drama|Mystery
116,112373,Anne Frank Remembered (1995),Documentary
